i,k,f1
179,50,0.871
179,-1,0.932
180,1,0.572
180,5,0.796
180,10,0.834
180,25,0.885
180,50,0.903
180,-1,0.947
181,1,0.489
181,5,0.816
181,10,0.779
181,25,0.85
181,50,0.885
181,-1,0.949
182,1,0.681
182,5,0.87
182,10,0.863
182,25,0.887
182,50,0.913
182,-1,0.939
183,1,0.317
183,5,0.864
183,10,0.876
183,25,0.907
183,50,0.909
183,-1,0.945
184,1,0.856
184,5,0.911
184,10,0.887
184,25,0.905
184,50,0.913
184,-1,0.945
185,1,0.446
185,5,0.768
185,10,0.899
185,25,0.914
185,50,0.934
185,-1,0.944
186,1,0.716
186,5,0.824
186,10,0.903
186,25,0.894
186,50,0.903
186,-1,0.937
187,1,0.62
187,5,0.786
187,10,0.83
187,25,0.864
187,50,0.899
187,-1,0.949
188,1,0.746
188,5,0.873
188,10,0.832
188,25,0.883
188,50,0.887
188,-1,0.938
189,1,0.816
189,5,0.85
189,10,0.857
189,25,0.863
189,50,0.895
189,-1,0.943
190,1,0.64
190,5,0.839
190,10,0.877
190,25,0.891
190,50,0.905
190,-1,0.939
191,1,0.729
191,5,0.841
191,10,0.874
191,25,0.897
191,50,0.906
191,-1,0.942
192,1,0.238
192,5,0.853
192,10,0.874
192,25,0.895
192,50,0.903
192,-1,0.929
193,1,0.582
193,5,0.836
193,10,0.857
193,25,0.886
193,50,0.897
193,-1,0.932
194,1,0.461
194,5,0.842
194,10,0.885
194,25,0.865
194,50,0.881
194,-1,0.933
195,1,0.554
195,5,0.852
195,10,0.862
195,25,0.868
195,50,0.866
195,-1,0.939
196,1,0.751
196,5,0.854
196,10,0.884
196,25,0.891
196,50,0.893
196,-1,0.936
197,1,0.716
197,5,0.813
197,10,0.876
197,25,0.883
197,50,0.884
197,-1,0.935
198,1,0.289
198,5,0.867
198,10,0.868
198,25,0.883
198,50,0.909
198,-1,0.928
199,1,0.721
199,5,0.88
199,10,0.877
199,25,0.904
199,50,0.923
199,-1,0.939
200,1,0.669
200,5,0.751
200,10,0.803
200,25,0.879
200,50,0.893
200,-1,0.925
201,1,0.602
201,5,0.865
201,10,0.873
201,25,0.87
201,50,0.88
201,-1,0.942
202,1,0.54
202,5,0.801
202,10,0.825
202,25,0.861
202,50,0.867
202,-1,0.934
203,1,0.754
203,5,0.842
203,10,0.891
203,25,0.877
203,50,0.901
203,-1,0.95
204,1,0.786
204,5,0.872
204,10,0.857
204,25,0.869
204,50,0.886
204,-1,0.939
205,1,0.748
205,5,0.832
205,10,0.852
205,25,0.892
205,50,0.917
205,-1,0.945
206,1,0.84
206,5,0.857
206,10,0.857
206,25,0.901
206,50,0.9
206,-1,0.942
207,1,0.484
207,5,0.867
207,10,0.893
207,25,0.897
207,50,0.905
207,-1,0.936
208,1,0.779
208,5,0.864
208,10,0.885
208,25,0.895
208,50,0.9
208,-1,0.923
209,1,0.853
209,5,0.849
209,10,0.845
209,25,0.878
209,50,0.922
209,-1,0.946
210,1,0.671
210,5,0.856
210,10,0.888
210,25,0.905
210,50,0.924
210,-1,0.953
211,1,0.805
211,5,0.757
211,10,0.831
211,25,0.86
211,50,0.88
211,-1,0.95
212,1,0.709
212,5,0.855
212,10,0.87
212,25,0.86
212,50,0.909
212,-1,0.953
213,1,0.683
213,5,0.85
213,10,0.881
213,25,0.897
213,50,0.896
213,-1,0.938
214,1,0.362
214,5,0.855
214,10,0.854
214,25,0.877
214,50,0.881
214,-1,0.943
215,1,0.78
215,5,0.844
215,10,0.907
215,25,0.898
215,50,0.918
215,-1,0.945
216,1,0.359
216,5,0.865
216,10,0.874
216,25,0.906
216,50,0.914
216,-1,0.93
217,1,0.735
217,5,0.84
217,10,0.849
217,25,0.887
217,50,0.895
217,-1,0.935
218,1,0.29
218,5,0.869
218,10,0.881
218,25,0.895
218,50,0.876
218,-1,0.928
219,1,0.764
219,5,0.875
219,10,0.892
219,25,0.906
219,50,0.924
219,-1,0.938
220,1,0.686
220,5,0.862
220,10,0.896
220,25,0.913
220,50,0.911
220,-1,0.938
221,1,0.539
221,5,0.868
221,10,0.894
221,25,0.911
221,50,0.92
221,-1,0.938
222,1,0.627
222,5,0.874
222,10,0.851
222,25,0.877
222,50,0.884
222,-1,0.948
223,1,0.727
223,5,0.808
223,10,0.825
223,25,0.876
223,50,0.892
223,-1,0.937
224,1,0.644
224,5,0.83
224,10,0.86
224,25,0.898
224,50,0.888
224,-1,0.945
225,1,0.446
225,5,0.818
225,10,0.875
225,25,0.883
225,50,0.898
225,-1,0.947
226,1,0.662
226,5,0.849
226,10,0.862
226,25,0.877
226,50,0.886
226,-1,0.929
227,1,0.681
227,5,0.854
227,10,0.882
227,25,0.89
227,50,0.906
227,-1,0.933
228,1,0.82
228,5,0.864
228,10,0.868
228,25,0.867
228,50,0.859
228,-1,0.941
229,1,0.641
229,5,0.847
229,10,0.874
229,25,0.859
229,50,0.895
229,-1,0.931
230,1,0.438
230,5,0.81
230,10,0.822
230,25,0.881
230,50,0.905
230,-1,0.946
231,1,0.615
231,5,0.805
231,10,0.873
231,25,0.896
231,50,0.896
231,-1,0.936
232,1,0.741
232,5,0.833
232,10,0.881
232,25,0.871
232,50,0.887
232,-1,0.949
233,1,0.478
233,5,0.823
233,10,0.866
233,25,0.858
233,50,0.893
233,-1,0.951
234,1,0.581
234,5,0.844
234,10,0.843
234,25,0.888
234,50,0.901
234,-1,0.923
235,1,0.879
235,5,0.839
235,10,0.878
235,25,0.879
235,50,0.87
235,-1,0.952
236,1,0.77
236,5,0.845
236,10,0.873
236,25,0.901
236,50,0.904
236,-1,0.948
237,1,0.516
237,5,0.844
237,10,0.862
237,25,0.897
237,50,0.904
237,-1,0.939
238,1,0.76
238,5,0.879
238,10,0.89
238,25,0.893
238,50,0.917
238,-1,0.95
239,1,0.796
239,5,0.896
239,10,0.902
239,25,0.926
239,50,0.919
239,-1,0.927
240,1,0.806
240,5,0.86
240,10,0.883
240,25,0.902
240,50,0.919
240,-1,0.935
241,1,0.598
241,5,0.834
241,10,0.87
241,25,0.884
241,50,0.904
241,-1,0.942
242,1,0.374
242,5,0.852
242,10,0.862
242,25,0.878
242,50,0.909
242,-1,0.943
243,1,0.796
243,5,0.874
243,10,0.905
243,25,0.885
243,50,0.889
243,-1,0.946
244,1,0.483
244,5,0.852
244,10,0.886
244,25,0.902
244,50,0.916
244,-1,0.948
245,1,0.743
245,5,0.837
245,10,0.874
245,25,0.882
245,50,0.89
245,-1,0.937
246,1,0.48
246,5,0.754
246,10,0.858
246,25,0.874
246,50,0.893
246,-1,0.93
247,1,0.777
247,5,0.867
247,10,0.899
247,25,0.918
247,50,0.902
247,-1,0.947
248,1,0.805
248,5,0.817
248,10,0.862
248,25,0.877
248,50,0.896
248,-1,0.94
249,1,0.685
249,5,0.816
249,10,0.828
249,25,0.908
249,50,0.911
249,-1,0.939
250,1,0.577
250,5,0.841
250,10,0.819
250,25,0.887
250,50,0.907
250,-1,0.949
251,1,0.805
251,5,0.891
251,10,0.888
251,25,0.911
251,50,0.914
